"AIRPORT_CODE","CITY","STATE","METRO_AREA","FACILITY_NAME","LONGITUDE","LATITUDE","AIR_SERVICE","CBSA_CODE","CBSA_TYPE",
"","Spokane","WA","Spokane-Spokane Valley WA","Spokane STA Plaza",-117.422600,47.657600,0,44060,1,
"","Spokane","WA","Spokane-Spokane Valley WA","Spokane Travel Service",-117.415000,47.656700,0,44060,1,
"","Spokane","WA","Spokane-Spokane Valley WA","Spokane Intermodal Center",-117.413060,47.656990,0,44060,1,
"","Ritzville","WA","Othello WA","",-118.376090,47.126427,3,36830,2,
"","Ritzville","WA","Othello WA","Zips Drive Inn",-118.365000,47.118600,3,36830,2,
"","Pullman","WA","Pullman WA","Dissmores Iga",-117.173060,46.739395,0,39420,2,
"","Loon Lake","WA","Spokane-Spokane Valley WA","Lakeside Motel",-117.622700,48.061200,0,44060,1,
"","Kettle Falls","WA","Spokane-Spokane Valley WA","Chamber of Commerce",-118.062200,48.610500,0,44060,1,
"","Colville","WA","Spokane-Spokane Valley WA","",-117.901500,48.546127,0,44060,1,
"","Arden","WA","Spokane-Spokane Valley WA","Conoco Station",-117.888200,48.468700,0,44060,1,
"","Colville","WA","Spokane-Spokane Valley WA","Rural Resources",-117.905700,48.535900,0,44060,1,
"","Colfax","WA","Pullman WA","Ace Hardware",-117.365000,46.875500,0,39420,2,
"","Chewelah","WA","Spokane-Spokane Valley WA","",-117.716104,48.279722,0,44060,1,
"","Chewelah","WA","Spokane-Spokane Valley WA","Chewelah Casino",-117.710600,48.237700,0,44060,1,
"","Addy","WA","Spokane-Spokane Valley WA","Old School House/Conoco",-117.835400,48.359500,0,44060,1,
"","Deer Park","WA","Spokane-Spokane Valley WA","",-117.458810,47.953934,0,44060,1,
"","Deer Park","WA","Spokane-Spokane Valley WA","Yokes",-117.478200,47.946200,0,44060,1,
"","Sunnyside","WA","Yakima WA","",-119.978000,46.295200,0,49420,1,
"","Ellensburg","WA","Ellensburg WA","",-120.592000,47.017700,3,21260,2,
"","Yakima","WA","Yakima WA","",-120.472450,46.569912,0,49420,1,
"","George","WA","Moses Lake WA","",-119.852196,47.079178,3,34180,2,
"","Quincy","WA","Moses Lake WA","",-119.853390,47.244576,3,34180,2,
"","Pateros","WA","","Super Stop",-119.899000,48.053100,3,,0,
"","Orondo","WA","Wenatchee WA","",-120.094000,47.761800,0,48300,1,
"","Omak","WA","","Havillah Rd Printing",-119.528500,48.408417,3,,0,
"","Omak","WA","","",-119.520615,48.416893,3,,0,
"","Omak","WA","","Shell Food Mart",-119.516000,48.416600,3,,0,
"","Okanogan","WA","","Food Depot",-119.579000,48.365100,3,,0,
"","Moses Lake","WA","Moses Lake WA","Ernies Truck Stop",-119.258000,47.101800,3,34180,2,
"","Malott","WA","","",-119.706000,48.282900,3,,0,
"","Leavenworth","WA","Wenatchee WA","Icicle Kwik Stop",-120.665000,47.594400,0,48300,1,
"","Stevens Pass","WA","Wenatchee WA","Parking Lot At Summit South Or North",-121.089000,47.746200,0,48300,1,
"","Leavenworth","WA","Wenatchee WA","Amtrak Stop",-120.644400,47.606570,0,48300,1,
"","Ephrata","WA","Moses Lake WA","Chukar Hill Shell",-119.562140,47.306118,3,34180,2,
"","Ephrata","WA","Moses Lake WA","Grant Transit Authority at Intermodal Station",-119.549000,47.321100,3,34180,2,
"","Chelan Falls","WA","Wenatchee WA","Kellys Iron Works",-119.976600,47.817300,0,48300,1,
"","Brewster","WA","","Triange Shell",-119.782000,48.103700,3,,0,
"","Wenatchee","WA","Wenatchee WA","Columbia Station",-120.308000,47.421200,0,48300,1,
"","Wenatchee","WA","Wenatchee WA","Columbia Station",-120.305840,47.421620,0,48300,1,
"","Wishram","WA","","Amtrak Station",-120.966320,45.657310,3,,0,
"","Vancouver","WA","Portland-Vancouver-Hillsboro OR-WA","Amtrak Station",-122.684720,45.629800,0,38900,1,
"","Kelso","WA","Longview WA","",-122.913256,46.142195,3,31020,1,
"","Kelso","WA","Longview WA","Kelso Multimodal Transportation Center",-122.911770,46.142620,3,31020,1,
"","Bingen-White Salmon","WA","","Amtrak Station",-121.469090,45.715380,3,,0,
"","Centralia","WA","Centralia WA","S & G SINGH INC",-122.973000,46.711300,3,16500,2,
"","Centralia","WA","Centralia WA","Amtrak Station",-122.951880,46.717420,3,16500,2,
"","Olympia","WA","Olympia-Tumwater WA","Centennial Station",-122.795810,46.990660,3,36500,1,
"","Olympia","WA","Olympia-Tumwater WA","",-122.901000,47.042100,3,36500,1,
"","Tacoma","WA","Seattle-Tacoma-Bellevue WA","Tacoma Dome Station",-122.428800,47.239700,0,42660,1,
"","Tacoma","WA","Seattle-Tacoma-Bellevue WA","Greyhound Bus Station",-122.427000,47.240500,0,42660,1,
"","Tacoma","WA","Seattle-Tacoma-Bellevue WA","Amtrak station",-122.418000,47.241700,0,42660,1,
"","Tacoma","WA","Seattle-Tacoma-Bellevue WA","Tacoma Dome Transit Center",-122.427350,47.239880,0,42660,1,
